,title,label
0,"""한섬, 업황 회복으로 실적 모멘텀 지속""...비중확대는 DSR무관 야호스탁 상품으로",3
1,데브시스터즈 1분기 영업이익 94억원…작년 동기 대비 60.2% 하락 ,0
2,"""호텔·상가 리츠, 리오프닝 기대""...대비는 DSR무관 골드스탁 재원으로",1
3,"파멥신, 제프리스 헬스케어 컨퍼런스 초청 참석",3
4,"한화자산운용, 세계 최초 대체자산 전반에 투자하는 ETF 상장",3
5,"지더블유바이텍, 디스플레이 제조 제이케이랩스 인수 … ""사업 다변화해 안정적 매출""",3
6,동진쎄미켐 1분기 영업이익 471억원…작년 동기 대비 64.8% 상승 ,1
7,"현대인베스트먼트운용, 사모펀드 부실운용으로 과태료 처분",3
8,"코스닥 상장 준비 쿼드메디슨, 150억원 규모 시리즈C 투자 유치",3
9,"""SK가스, 1분기 실적 기대치 상회""...투자는 DSR무관 야호스탁 자금으로",1
10,"""한국전력 제외한 코스피 기업 올해 영업이익 15% 증가""",1
11,삼강엠앤티 1분기 영업이익 171억원…작년 동기 대비 48% 상승 ,1
12,"""중견 카메라모듈 업체 주목""...저점매수는 DSR무관 골드스탁 자금으로",1
13,"26% 떨어진 테슬라, 저가매수 지금인가?",3
14,"펠로톤, 코인베이스, 로블럭스, 업스타트, 어펌, 유니티 주가 추락하는 공통 이유l골드만삭스, 물가 3월 정점론",3
15,"[코스피] 10.04p(0.39%) 내린 2,586.52(개장)",0
16,[코스닥] 2.41p(0.28%) 내린 853.73(개장),0
17,위메이드 1분기 영업이익 65억원…작년 동기 대비 76.4% 하락 ,0
18,더블유게임즈 1분기 영업이익 427억원…작년 동기 대비 15.3% 하락 ,0
19,"美증시, 반발 매수세 속 혼조…나스닥 0.98% 상승 ",1
20,"뉴욕증시, 반발 매수세 속에 혼조…나스닥 0.98% 상승 마감",1
21,"뉴욕증시, 반발 매수세에 급반등 출발",1
22,원스토어 공모가 2만원대 그칠듯…태림페이퍼도 흥행 실패,3
23,IPO 시장 한파에 원스토어·태림페이퍼도 수요예측 저조,3
24,"신성이엔지, 퓨어게이트로 '녹색인증' 취득…청정사업 박차",3
25,대통령 취임식 전날에 팔아라?…尹도 못피한 '주가하락 징크스',0
26,현대百 1분기 영업익 37% 증가,1
27,"""2600선 빠른 회복 못하면 2400까지 추가 하락 위험""",0
28,"선방한 韓증시, 지지대는 견조한 기업이익",1
29,"""수출보다 내수"" 한섬·신세계인터 '눈길'",3
30,美증시하락 예고한 이남우…조정장 투자전략은 [자이앤트TV],0
31,"AI가 뉴욕 증시 한발 빠른 예측…붐&쇼크지수, 무엇이 다른가",3
