,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,38,42,10,19
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,261,1,66,6,57,48,78,958,959
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,8,3,7,14,960,94,2
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,804,179,39,91,423,156,1,107,16,40
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692,180,2,6,1,805,25,37,21
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,45,18
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,181,62,1226,63,41,246,99,124,323,27
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,180,6,109,56,2,29
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,18
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,194,12,235,324,6,109
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,18
11,0,0,0,0,0,0,0,0,0,0,0,0,5,112,469,66,425,65,136,159,2,28,12,84,11
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,38,42,10,19
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,806,1,1227,470,148,24,1,52,325
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1228,41,246,99,95,1,44,961
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,38,42,10,19
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,807,1,1,1,962,52,471,1229
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,263,210,100,1230,963,152,116,693,472
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,29,211,247
19,0,0,0,0,0,0,0,0,0,12,248,1231,1232,81,57,195,1233,57,48,27,51,74,76,116,21
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1234,1235,532,3,46,2,11
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,32,73,2,124,2,2,1,1,117,33
22,0,0,0,0,0,0,0,0,0,0,0,0,0,326,79,533,964,263,694,965,1,1236,1,99,473
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,82,136,159,144,12
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,305,4,3,7,14,8,22,9,6
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,606,1,5,97,213,6
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,39,1237,236,108,62,2,50,2
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,18
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,32,73,49,1,695,355
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,1,1,1,1238,64,16
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,36,80,125,966,356,6,28
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,967,83,16,34,185,25,37,21
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,38,42,10,19
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,534,607,4,3,7,14,8,264,2
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,54,24,3,7,14,8,22,9,2
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,18
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,1239,1240,73,608,41,968,79
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,132,93,535,808,1,288,87
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,1241,52,609,474,17,1242,56,2
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,71,8,22,9,2,11
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,82,6,28,12
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,45,18
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,1243,1,145,696,93,91
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,4,3,7,14,8,22,9,2
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,82,12,160,1244,610,68,88
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,48,1,536,537,49,59,33,969,1245
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,38,42,10,19
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,45,18
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,12,41,538,214,4,3,96,14,118,61
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,215,153,58,1,1246,327,1,110
